YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (MW/h),GENERATION (GW/h)
1991,AR,Total Electric Power Industry,Hydroelectric Conventional,3546966,3.546966
1991,AR,Total Electric Power Industry,Natural Gas,3324886,3.324886
1991,AR,Total Electric Power Industry,Nuclear,12661793,12.661793
1991,AR,Total Electric Power Industry,Other Biomass,16613,0.016613
1991,AR,Total Electric Power Industry,Petroleum,68257,0.068257
1991,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,1373914,1.373914
1991,AZ,Total Electric Power Industry,Total,67202551,67.202551
1991,AZ,Total Electric Power Industry,Coal,32557748,32.557748
1991,AZ,Total Electric Power Industry,Hydroelectric Conventional,6735540,6.73554
1991,AZ,Total Electric Power Industry,Natural Gas,2226388,2.226388
1991,AZ,Total Electric Power Industry,Nuclear,25095776,25.095776
1991,AZ,Total Electric Power Industry,Petroleum,117399,0.117399
1991,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,106788,0.106788
